name,price,Discount
Oraimo Cannon 2 Pro 18W Fast Charging Charger Kit + Type-C Cable,"KSh 1,949",51%
Oraimo OEP-650 Halo Airy Wired Earphone - Black,KSh 826,26%
Nunix NU-9090B 5.1 Woofer/mini Home Theatre Speaker System,"KSh 1,056",19%
Ramtons RF/130- 213l 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),KSh 900,29%
Dettol Dettol Soap Herbal 175g,"KSh 5,950",23%
Absolut Absolut Vodka Blue - 750ml,"KSh 13,696",15%
Sundabest Plain White Decorated Dinner Plates 6 Pcs (311009774),"KSh 21,196",11%
Durex Play Tingle Lubricant - 50ml,"KSh 6,550",23%
Oraimo 18W Dual Output 3 Ways Play Music Digital Display,"KSh 7,660",20%
"Vitron V636, 3.1CH Multimedia Bluetooth Speaker System - Black","KSh 26,598",21%
"Gld 32"" Smart Frameless HD LED Television - Black.","KSh 1,001",25%
"Royal 43"" Smart Frameless Full HD LED Television - Black.","KSh 90,000",25%
"Amtec AM-732 3.1CH Subwoofer Bluetooth System, FM/USB/SD - Black (1YR WRTY)","KSh 16,999",6%
Vitron V837 3.1 Inch Bluetooth Speaker System (1YR WRTY),KSh 929,25%
"Oppo A58, 6.72'',50MP, 8GB+128GB, 4G, 5000mAh, Dual Stereo Speakers (Dual Sim)- Dazzling Green, (2YRs WRTY)","KSh 16,450",9%
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,"KSh 3,699",15%
Starlink Standard Actuated Kit,"KSh 1,421",46%
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),"KSh 1,110",8%
Nunix K1S Hot & Normal Standing Water Dispenser – White,"KSh 16,999",12%
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 1,550",25%
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)","KSh 1,170",47%
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)","KSh 13,995",16%
Nunix Free standing Hot and Normal -Q7n White,"KSh 1,699",9%
"Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven(1YR WRTY)","KSh 1,050",2%
Nunix AK-105 - 2 In 1 Blender With Grinding Machine – 350W -  1.5L – Black,"KSh 13,345",4%
